id,run_id,title,abstract,year,doi,url,source,created_at
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40806498,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,A Simple and Rapid Synthesis of Spherical Silver Phosphate (Ag(3)PO(4)) and Its Antimicrobial Activity in Plant Tissue Culture,,2025,10.3390/ijms26157371,https://pubmed.ncbi.nlm.nih.gov/40806498/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40803672,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,The Flipped Classroom in Medical Education: Systematic Review and Meta-Analysis,,2025,10.2196/60757,https://pubmed.ncbi.nlm.nih.gov/40803672/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40799337,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,University students' subjective experiences with problem-based learning and associated generic skills,,2025,10.3389/fpsyg.2025.1618997,https://pubmed.ncbi.nlm.nih.gov/40799337/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40790198,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Evaluation of student engagement among Nigerian medical students using the AMEE ASPIRE criteria,,2025,10.1186/s12909-025-07746-y,https://pubmed.ncbi.nlm.nih.gov/40790198/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40772439,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Unraveling the Link Between n-Back Working Memory and Algebraic Ability in Adolescents: Correlations and Training Effects,,2025,10.1002/pchj.70047,https://pubmed.ncbi.nlm.nih.gov/40772439/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40771778,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,How do medical students define a Health Promoting Learning Environments?,,2025,10.36834/cmej.80125,https://pubmed.ncbi.nlm.nih.gov/40771778/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:pmid:40769134,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Effectiveness of an Integrated MDT-CBL Educational Approach for Chinese Craniofacial Nurses,,2025,10.1097/SCS.0000000000011757,https://pubmed.ncbi.nlm.nih.gov/40769134/,PubMed,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:doi:10.1177/14697874211010866,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Editorial,,2021,10.1177/14697874211010866,https://doi.org/10.1177/14697874211010866,Crossref,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:doi:10.4324/9781003360032-1,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Introduction to “Active Learning in Higher Education”,,2023,10.4324/9781003360032-1,https://doi.org/10.4324/9781003360032-1,Crossref,2025-09-04 00:16:36.047956
9ddc9679-f6fc-487c-a3d9-498e6c7bf663:doi:10.1177/14697874251347189,9ddc9679-f6fc-487c-a3d9-498e6c7bf663,Attendance and learning platforms in college course success,"<jats:p>
            This study examines (1) the conditional effects of attendance at values of learning platform activities, and (2) the direct and indirect effects of attendance on final grades. Participants (
            <jats:italic>n</jats:italic>
             = 71) were students enrolled in an in-person introductory statistics class. Results show that students with average and below average out-of-class activities in learning platforms benefitted significantly from attending classes. The study revealed that attendance did not benefit students uniformly, and in-class participation and out-of-class preparation have complimentary effects on each other influencing success, suggesting the need for combined efforts within these two domains. The indirect effect of attendance on final grades was transmitted through the learning platform activities. Attendance increases the utilization of learning platforms, and the utilization of learning platforms increases the final grades. However, the strong direct effects of attendance on final grades suggest that in-class participation in activities and instructors’ explanations are advantageous. These findings suggest that multiple respective factors may be effective in advancing course performance in an introductory STEM course including instructor’s course design, teaching methods, utilization of educational technology to foster understanding the content via data visualizations, and diagram and formula template embedded worksheets. The implications of these findings are that the objectives of educational technology, with accompanying interactive websites, serve as a tool to encourage students to become active learners.
          </jats:p>",2025,10.1177/14697874251347189,https://doi.org/10.1177/14697874251347189,Crossref,2025-09-04 00:16:36.047956
